date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-11-01,0.2399,0.13,0.37,0.7,tight-supply,45.0,0.3,100000000.0
2025-11-02,0.2395,0.13,0.37,0.7,tight-supply,45.0052,0.3002,99797104.9711
2025-11-03,0.2428,0.13,0.3701,0.6999,tight-supply,45.0208,0.3005,99578233.6831
2025-11-04,0.2437,0.1301,0.3701,0.6997,tight-supply,45.0464,0.301,99343691.2494
2025-11-05,0.2371,0.1301,0.3702,0.6995,tight-supply,45.0819,0.3016,99093782.7835
2025-11-06,0.2376,0.1302,0.3703,0.6992,tight-supply,45.127,0.3023,98828813.3987
2025-11-07,0.2426,0.1302,0.3705,0.6988,tight-supply,45.1815,0.3032,98549088.2085
2025-11-08,0.2403,0.1303,0.3706,0.6984,tight-supply,45.2452,0.3042,98254912.3264
2025-11-09,0.2394,0.1304,0.3708,0.6979,tight-supply,45.3179,0.3053,97946590.8658
2025-11-10,0.2421,0.1305,0.371,0.6973,tight-supply,45.3993,0.3065,97624428.9402
2025-11-11,0.2369,0.1306,0.3713,0.6967,tight-supply,45.4892,0.3079,97288731.6629
2025-11-12,0.2424,0.1307,0.3715,0.696,tight-supply,45.5874,0.3093,96939804.1475
2025-11-13,0.2436,0.1309,0.3718,0.6953,tight-supply,45.6937,0.3109,96577951.5073
2025-11-14,0.2413,0.131,0.3721,0.6945,tight-supply,45.8078,0.3126,96203478.8559
2025-11-15,0.2442,0.1312,0.3724,0.6937,tight-supply,45.9295,0.3144,95816691.3066
2025-11-16,0.2449,0.1314,0.3728,0.6928,tight-supply,46.0585,0.3163,95417893.9729
2025-11-17,0.2433,0.1315,0.3732,0.6919,tight-supply,46.1948,0.3182,95007391.9682
2025-11-18,0.2431,0.1317,0.3735,0.6909,tight-supply,46.3379,0.3203,94585490.406
2025-11-19,0.2409,0.1319,0.3739,0.6899,tight-supply,46.4878,0.3225,94152494.3998
2025-11-20,0.242,0.1321,0.3744,0.6888,tight-supply,46.6442,0.3247,93708709.0629
2025-11-21,0.2452,0.1324,0.3748,0.6877,tight-supply,46.8068,0.3271,93254439.5088
2025-11-22,0.2475,0.1326,0.3753,0.6865,tight-supply,46.9754,0.3295,92789990.8509
2025-11-23,0.2457,0.1328,0.3758,0.6853,tight-supply,47.1498,0.332,92315668.2028
2025-11-24,0.2476,0.1331,0.3762,0.684,tight-supply,47.3298,0.3346,91831776.6777
2025-11-25,0.2406,0.1333,0.3768,0.6827,tight-supply,47.5152,0.3372,91338621.3893
2025-11-26,0.2466,0.1336,0.3773,0.6814,tight-supply,47.7057,0.3399,90836507.4508
2025-11-27,0.2441,0.1339,0.3778,0.68,tight-supply,47.9011,0.3427,90325739.9758
2025-11-28,0.2448,0.1341,0.3784,0.6786,tight-supply,48.1012,0.3456,89806624.0777
2025-11-29,0.2457,0.1344,0.379,0.6772,tight-supply,48.3057,0.3485,89279464.87
2025-11-30,0.2457,0.1347,0.3796,0.6757,tight-supply,48.5145,0.3514,88744567.466
2025-12-01,0.2493,0.135,0.3802,0.6741,tight-supply,48.7273,0.3544,88202236.9792
2025-12-02,0.2476,0.1353,0.3808,0.6726,tight-supply,48.9438,0.3575,87652778.5231
2025-12-03,0.2495,0.1357,0.3814,0.671,tight-supply,49.1639,0.3606,87096497.2111
2025-12-04,0.2557,0.136,0.3821,0.6694,tight-supply,49.3873,0.3637,86533698.1567
2025-12-05,0.2508,0.1363,0.3828,0.6677,tight-supply,49.6138,0.3669,85964686.4732
2025-12-06,0.2535,0.1367,0.3834,0.6661,tight-supply,49.8432,0.3701,85389767.2742
2025-12-07,0.2528,0.137,0.3841,0.6644,tight-supply,50.0753,0.3733,84809245.673
2025-12-08,0.2565,0.1374,0.3848,0.6627,tight-supply,50.3097,0.3766,84223426.7832
2025-12-09,0.2609,0.1377,0.3855,0.6609,tight-supply,50.5464,0.3799,83632615.7181
2025-12-10,0.2591,0.1381,0.3862,0.6591,tight-supply,50.785,0.3832,83037117.5912
2025-12-11,0.2639,0.1385,0.387,0.6574,tight-supply,51.0254,0.3865,82437237.5159
2025-12-12,0.2565,0.1388,0.3877,0.6555,tight-supply,51.2674,0.3899,81833280.6057
2025-12-13,0.2549,0.1392,0.3885,0.6537,tight-supply,51.5106,0.3933,81225551.974
2025-12-14,0.2552,0.1396,0.3892,0.6519,tight-supply,51.7549,0.3966,80614356.7343
2025-12-15,0.2601,0.14,0.39,0.65,cold-snap,52.0,0.4,80000000.0
2025-12-16,0.2617,0.1404,0.3908,0.648,cold-snap,52.2557,0.4035,79372384.7763
2025-12-17,0.2637,0.1409,0.3918,0.6458,cold-snap,52.5313,0.4072,78721572.2753
2025-12-18,0.2642,0.1415,0.3928,0.6434,cold-snap,52.8265,0.4111,78048104.9209
2025-12-19,0.2639,0.1421,0.394,0.6407,cold-snap,53.1405,0.4153,77352525.1371
2025-12-20,0.2711,0.1429,0.3953,0.6378,cold-snap,53.4729,0.4196,76635375.3477
2025-12-21,0.2646,0.1436,0.3967,0.6348,cold-snap,53.8231,0.4241,75897197.9766
2025-12-22,0.2712,0.1444,0.3982,0.6315,cold-snap,54.1905,0.4289,75138535.4478
2025-12-23,0.2728,0.1453,0.3997,0.6281,cold-snap,54.5747,0.4338,74359930.185
2025-12-24,0.2692,0.1463,0.4014,0.6244,cold-snap,54.975,0.4389,73561924.6123
2025-12-25,0.275,0.1473,0.4032,0.6206,cold-snap,55.3909,0.4442,72745061.1535
2025-12-26,0.2814,0.1483,0.405,0.6166,cold-snap,55.8218,0.4496,71909882.2325
2025-12-27,0.2785,0.1494,0.4069,0.6125,cold-snap,56.2673,0.4552,71056930.2731
2025-12-28,0.2783,0.1505,0.4089,0.6082,cold-snap,56.7268,0.4609,70186747.6994
2025-12-29,0.2778,0.1517,0.411,0.6038,cold-snap,57.1996,0.4669,69299876.9352
2025-12-30,0.2776,0.153,0.4131,0.5992,cold-snap,57.6853,0.4729,68396860.4043
2025-12-31,0.2791,0.1542,0.4154,0.5945,cold-snap,58.1833,0.4791,67478240.5308
2026-01-01,0.2816,0.1556,0.4176,0.5896,cold-snap,58.6931,0.4854,66544559.7384
2026-01-02,0.277,0.1569,0.42,0.5846,cold-snap,59.214,0.4919,65596360.4511
2026-01-03,0.2861,0.1583,0.4224,0.5796,cold-snap,59.7457,0.4984,64634185.0927
2026-01-04,0.2897,0.1597,0.4248,0.5744,cold-snap,60.2874,0.5051,63658576.0873
2026-01-05,0.2924,0.1611,0.4273,0.5691,cold-snap,60.8387,0.5119,62670075.8586
2026-01-06,0.2969,0.1626,0.4299,0.5637,cold-snap,61.399,0.5188,61669226.8305
2026-01-07,0.3026,0.1641,0.4325,0.5582,cold-snap,61.9678,0.5258,60656571.427
2026-01-08,0.2952,0.1656,0.4351,0.5526,cold-snap,62.5445,0.5329,59632652.072
2026-01-09,0.3055,0.1672,0.4378,0.547,cold-snap,63.1285,0.5401,58598011.1893
2026-01-10,0.3005,0.1687,0.4405,0.5413,cold-snap,63.7194,0.5474,57553191.2029
2026-01-11,0.3065,0.1703,0.4432,0.5355,cold-snap,64.3165,0.5547,56498734.5366
2026-01-12,0.3065,0.1719,0.446,0.5297,cold-snap,64.9194,0.5621,55435183.6143
2026-01-13,0.306,0.1735,0.4487,0.5238,cold-snap,65.5274,0.5696,54363080.86
2026-01-14,0.3087,0.1751,0.4515,0.5179,cold-snap,66.14,0.5771,53282968.6975
2026-01-15,0.3109,0.1767,0.4543,0.512,cold-snap,66.7566,0.5847,52195389.5508
2026-01-16,0.3183,0.1784,0.4572,0.506,cold-snap,67.3768,0.5923,51100885.8436
2026-01-17,0.3241,0.18,0.46,0.5,rationing-fear,68.0,0.6,50000000.0
