date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-11-15,0.2267,0.1,0.36,0.9,hawkish,4.75,0.1,5000000000.0
2025-11-16,0.2272,0.0961,0.3541,0.904,hawkish,4.75,0.1,5047099996.0828
2025-11-17,0.2204,0.0925,0.3485,0.9077,hawkish,4.75,0.1001,5091147462.6398
2025-11-18,0.2112,0.0892,0.3431,0.9113,hawkish,4.75,0.1003,5132244579.5875
2025-11-19,0.2142,0.086,0.338,0.9147,hawkish,4.75,0.1005,5170493526.8425
2025-11-20,0.2084,0.0831,0.3331,0.9178,hawkish,4.75,0.1007,5205996484.3214
2025-11-21,0.2068,0.0805,0.3285,0.9208,hawkish,4.75,0.1011,5238855631.9408
2025-11-22,0.2043,0.078,0.3241,0.9237,hawkish,4.75,0.1014,5269173149.6171
2025-11-23,0.1969,0.0758,0.32,0.9263,hawkish,4.75,0.1019,5297051217.267
2025-11-24,0.1977,0.0737,0.3161,0.9288,hawkish,4.75,0.1023,5322592014.807
2025-11-25,0.1905,0.0719,0.3124,0.9311,hawkish,4.75,0.1028,5345897722.1537
2025-11-26,0.1844,0.0702,0.309,0.9332,hawkish,4.75,0.1034,5367070519.2236
2025-11-27,0.1913,0.0686,0.3057,0.9352,hawkish,4.75,0.104,5386212585.9334
2025-11-28,0.1849,0.0673,0.3027,0.937,hawkish,4.75,0.1046,5403426102.1995
2025-11-29,0.1765,0.0661,0.2999,0.9387,hawkish,4.75,0.1053,5418813247.9386
2025-11-30,0.1881,0.065,0.2973,0.9403,hawkish,4.75,0.106,5432476203.0672
2025-12-01,0.1769,0.0641,0.295,0.9417,hawkish,4.75,0.1068,5444517147.5018
2025-12-02,0.1776,0.0633,0.2928,0.943,hawkish,4.75,0.1076,5455038261.1591
2025-12-03,0.1859,0.0626,0.2908,0.9441,hawkish,4.75,0.1084,5464141723.9556
2025-12-04,0.1745,0.062,0.2889,0.9452,hawkish,4.75,0.1092,5471929715.8078
2025-12-05,0.1775,0.0615,0.2873,0.9461,hawkish,4.75,0.1101,5478504416.6324
2025-12-06,0.1724,0.0611,0.2859,0.9469,hawkish,4.75,0.111,5483968006.3458
2025-12-07,0.177,0.0608,0.2846,0.9476,hawkish,4.75,0.1119,5488422664.8648
2025-12-08,0.1722,0.0605,0.2835,0.9482,hawkish,4.75,0.1129,5491970572.1057
2025-12-09,0.1716,0.0603,0.2825,0.9487,hawkish,4.75,0.1139,5494713907.9852
