date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-11-01,0.5377,0.44,0.62,0.8,minting-start,500000000.0,0.2,300000000.0
2025-11-02,0.5326,0.4404,0.6208,0.8019,minting-start,548792020.4746,0.1981,303794613.1092
2025-11-03,0.5316,0.4408,0.6217,0.8038,minting-start,597655782.9361,0.1962,307571307.3305
2025-11-04,0.5294,0.4411,0.6225,0.8057,minting-start,646592526.7001,0.1943,311328594.0736
2025-11-05,0.5344,0.4415,0.6234,0.8075,minting-start,695603491.0823,0.1925,315064984.748
2025-11-06,0.5265,0.4419,0.6242,0.8094,minting-start,744689915.3983,0.1906,318778990.7634
2025-11-07,0.5304,0.4422,0.625,0.8112,minting-start,793853038.9637,0.1888,322469123.5292
2025-11-08,0.5341,0.4426,0.6258,0.8131,minting-start,843094101.0942,0.1869,326133894.4553
2025-11-09,0.5295,0.443,0.6266,0.8149,minting-start,892414341.1053,0.1851,329771814.951
2025-11-10,0.5358,0.4433,0.6274,0.8167,minting-start,941814998.3128,0.1833,333381396.426
2025-11-11,0.5335,0.4437,0.6282,0.8185,minting-start,991297312.0322,0.1815,336961150.2898
2025-11-12,0.5326,0.4441,0.629,0.8203,minting-start,1040862521.5792,0.1797,340509587.9522
2025-11-13,0.5315,0.4444,0.6297,0.822,minting-start,1090511866.2694,0.178,344025220.8226
2025-11-14,0.5329,0.4448,0.6305,0.8238,minting-start,1140246585.4184,0.1762,347506560.3107
2025-11-15,0.5353,0.4451,0.6312,0.8255,minting-start,1190067918.3419,0.1745,350952117.826
2025-11-16,0.5405,0.4454,0.6319,0.8272,minting-start,1239977104.3555,0.1728,354360404.7781
2025-11-17,0.531,0.4458,0.6326,0.8289,minting-start,1289975382.7748,0.1711,357729932.5767
2025-11-18,0.54,0.4461,0.6333,0.8305,minting-start,1340063992.9155,0.1695,361059212.6312
2025-11-19,0.5384,0.4464,0.6339,0.8322,minting-start,1390244174.0932,0.1678,364346756.3514
2025-11-20,0.5404,0.4468,0.6346,0.8338,minting-start,1440517165.6235,0.1662,367591075.1467
2025-11-21,0.5357,0.4471,0.6352,0.8354,minting-start,1490884206.822,0.1646,370790680.4268
2025-11-22,0.534,0.4474,0.6358,0.837,minting-start,1541346537.0045,0.163,373944083.6013
2025-11-23,0.5318,0.4477,0.6364,0.8385,minting-start,1591905395.4864,0.1615,377049796.0797
2025-11-24,0.5396,0.448,0.6369,0.8401,minting-start,1642562021.5835,0.1599,380106329.2716
2025-11-25,0.5353,0.4483,0.6374,0.8416,minting-start,1693317654.6113,0.1584,383112194.5867
2025-11-26,0.5375,0.4486,0.6379,0.843,minting-start,1744173533.8856,0.157,386065903.4345
2025-11-27,0.5376,0.4489,0.6384,0.8445,minting-start,1795130898.7219,0.1555,388965967.2247
2025-11-28,0.5408,0.4492,0.6389,0.8459,minting-start,1846190988.4359,0.1541,391810897.3667
2025-11-29,0.5367,0.4495,0.6393,0.8473,minting-start,1897355042.3431,0.1527,394599205.2702
2025-11-30,0.5376,0.4497,0.6396,0.8487,minting-start,1948624299.7593,0.1513,397329402.3448
2025-12-01,0.5386,0.45,0.64,0.85,inflow-acceleration,2000000000.0,0.15,400000000.0
2025-12-02,0.5404,0.4503,0.6403,0.8513,inflow-acceleration,2051462956.3012,0.1487,402634044.2076
2025-12-03,0.5445,0.4505,0.6407,0.8526,inflow-acceleration,2102993492.3066,0.1474,405255169.0079
2025-12-04,0.5354,0.4508,0.641,0.8539,inflow-acceleration,2154592112.9432,0.1461,407862767.913
2025-12-05,0.5422,0.451,0.6413,0.8552,inflow-acceleration,2206259323.1382,0.1448,410456234.4352
2025-12-06,0.5413,0.4513,0.6417,0.8565,inflow-acceleration,2257995627.8188,0.1435,413034962.087
2025-12-07,0.5394,0.4516,0.642,0.8578,inflow-acceleration,2309801531.9121,0.1422,415598344.3804
2025-12-08,0.5427,0.4518,0.6423,0.8591,inflow-acceleration,2361677540.3453,0.1409,418145774.8278
2025-12-09,0.5415,0.4521,0.6426,0.8603,inflow-acceleration,2413624158.0455,0.1397,420676646.9415
2025-12-10,0.5467,0.4523,0.6429,0.8616,inflow-acceleration,2465641889.9398,0.1384,423190354.2338
2025-12-11,0.5427,0.4526,0.6432,0.8628,inflow-acceleration,2517731240.9554,0.1372,425686290.2169
2025-12-12,0.551,0.4528,0.6436,0.8641,inflow-acceleration,2569892716.0195,0.1359,428163848.4032
2025-12-13,0.5459,0.4531,0.6439,0.8653,inflow-acceleration,2622126820.0591,0.1347,430622422.3048
2025-12-14,0.5498,0.4533,0.6442,0.8665,inflow-acceleration,2674434058.0015,0.1335,433061405.4342
2025-12-15,0.5454,0.4535,0.6444,0.8677,inflow-acceleration,2726814934.7738,0.1323,435480191.3035
2025-12-16,0.5489,0.4538,0.6447,0.8689,inflow-acceleration,2779269955.3031,0.1311,437878173.4251
2025-12-17,0.5477,0.454,0.645,0.8701,inflow-acceleration,2831799624.5165,0.1299,440254745.3112
2025-12-18,0.5547,0.4543,0.6453,0.8713,inflow-acceleration,2884404447.3413,0.1287,442609300.4741
2025-12-19,0.5504,0.4545,0.6456,0.8725,inflow-acceleration,2937084928.7046,0.1275,444941232.4262
2025-12-20,0.5459,0.4547,0.6458,0.8736,inflow-acceleration,2989841573.5335,0.1264,447249934.6796
2025-12-21,0.5524,0.455,0.6461,0.8748,inflow-acceleration,3042674886.7552,0.1252,449534800.7467
2025-12-22,0.5509,0.4552,0.6464,0.8759,inflow-acceleration,3095585373.2968,0.1241,451795224.1397
2025-12-23,0.5475,0.4554,0.6466,0.877,inflow-acceleration,3148573538.0854,0.123,454030598.371
2025-12-24,0.558,0.4556,0.6469,0.8781,inflow-acceleration,3201639886.0482,0.1219,456240316.9527
2025-12-25,0.5499,0.4558,0.6471,0.8792,inflow-acceleration,3254784922.1124,0.1208,458423773.3973
