date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-10-01,0.1356,0.0,0.28,0.6,pressure,95000.0,0.4,50000000.0
2025-10-02,0.1444,0.002,0.283,0.5945,pressure,94736.4386,0.4055,49453851.0308
2025-10-03,0.1409,0.0041,0.286,0.5891,pressure,94474.2395,0.4109,48910300.0865
2025-10-04,0.148,0.0062,0.2891,0.5837,pressure,94213.5223,0.4163,48369507.9093
2025-10-05,0.151,0.0084,0.2922,0.5783,pressure,93954.4064,0.4217,47831635.2415
2025-10-06,0.1554,0.0107,0.2953,0.573,pressure,93697.0113,0.427,47296842.8253
2025-10-07,0.1539,0.0131,0.2985,0.5677,pressure,93441.4563,0.4323,46765291.4031
2025-10-08,0.1651,0.0155,0.3017,0.5624,pressure,93187.8609,0.4376,46237141.717
2025-10-09,0.1664,0.018,0.305,0.5571,pressure,92936.3446,0.4429,45712554.5094
2025-10-10,0.1699,0.0205,0.3083,0.5519,pressure,92687.0268,0.4481,45191690.5224
2025-10-11,0.1687,0.0231,0.3116,0.5467,pressure,92440.0269,0.4533,44674710.4985
2025-10-12,0.1768,0.0258,0.315,0.5416,pressure,92195.4644,0.4584,44161775.1798
2025-10-13,0.1786,0.0285,0.3184,0.5365,pressure,91953.4587,0.4635,43653045.3087
2025-10-14,0.1775,0.0313,0.3218,0.5315,pressure,91714.1292,0.4685,43148681.6273
2025-10-15,0.1843,0.0341,0.3253,0.5265,pressure,91477.5954,0.4735,42648844.878
2025-10-16,0.1838,0.037,0.3288,0.5215,pressure,91243.9768,0.4785,42153695.803
2025-10-17,0.1883,0.0399,0.3324,0.5166,pressure,91013.3927,0.4834,41663395.1445
2025-10-18,0.1929,0.0429,0.336,0.5118,pressure,90785.9627,0.4882,41178103.645
2025-10-19,0.1968,0.046,0.3396,0.507,pressure,90561.8061,0.493,40697982.0465
2025-10-20,0.2052,0.0491,0.3432,0.5022,pressure,90341.0424,0.4978,40223191.0915
2025-10-21,0.1974,0.0522,0.3469,0.4975,pressure,90123.7911,0.5025,39753891.522
2025-10-22,0.2109,0.0554,0.3507,0.4929,pressure,89910.1715,0.5071,39290244.0806
2025-10-23,0.2158,0.0587,0.3545,0.4883,pressure,89700.3031,0.5117,38832409.5092
2025-10-24,0.2162,0.062,0.3583,0.4838,pressure,89494.3054,0.5162,38380548.5504
2025-10-25,0.2229,0.0654,0.3621,0.4793,pressure,89292.2978,0.5207,37934821.9463
2025-10-26,0.2281,0.0687,0.366,0.475,pressure,89094.3997,0.525,37495390.4391
2025-10-27,0.2262,0.0722,0.3699,0.4706,pressure,88900.7305,0.5294,37062414.7712
2025-10-28,0.2375,0.0757,0.3739,0.4664,pressure,88711.4098,0.5336,36636055.6849
2025-10-29,0.238,0.0792,0.3778,0.4622,pressure,88526.557,0.5378,36216473.9223
2025-10-30,0.2397,0.0828,0.3819,0.458,pressure,88346.2915,0.542,35803830.2258
2025-10-31,0.2457,0.0864,0.3859,0.454,pressure,88170.7326,0.546,35398285.3376
2025-11-01,0.2523,0.09,0.39,0.45,distress,88000.0,0.55,35000000.0
2025-11-02,0.2587,0.0937,0.3941,0.4461,distress,87832.1361,0.5539,34606339.9567
2025-11-03,0.2605,0.0975,0.3983,0.4421,distress,87665.1402,0.5579,34214612.4581
2025-11-04,0.2631,0.1013,0.4025,0.4382,distress,87499.0664,0.5618,33824890.5068
2025-11-05,0.2726,0.1052,0.4067,0.4344,distress,87333.9691,0.5656,33437247.1053
2025-11-06,0.2702,0.1092,0.411,0.4305,distress,87169.9024,0.5695,33051755.2562
2025-11-07,0.2705,0.1133,0.4154,0.4267,distress,87006.9206,0.5733,32668487.9618
2025-11-08,0.2836,0.1175,0.4197,0.4229,distress,86845.078,0.5771,32287518.2248
2025-11-09,0.2882,0.1217,0.4241,0.4191,distress,86684.4287,0.5809,31908919.0477
2025-11-10,0.2882,0.1259,0.4286,0.4153,distress,86525.0271,0.5847,31532763.4329
2025-11-11,0.2958,0.1303,0.433,0.4116,distress,86366.9274,0.5884,31159124.383
2025-11-12,0.2943,0.1347,0.4376,0.4079,distress,86210.1838,0.5921,30788074.9004
2025-11-13,0.3057,0.1392,0.4421,0.4042,distress,86054.8506,0.5958,30419687.9878
2025-11-14,0.3089,0.1438,0.4467,0.4005,distress,85900.982,0.5995,30054036.6476
2025-11-15,0.3109,0.1484,0.4514,0.3969,distress,85748.6322,0.6031,29691193.8824
2025-11-16,0.32,0.1531,0.456,0.3933,distress,85597.8556,0.6067,29331232.6946
2025-11-17,0.3228,0.1579,0.4608,0.3897,distress,85448.7063,0.6103,28974226.0867
2025-11-18,0.3313,0.1627,0.4655,0.3862,distress,85301.2386,0.6138,28620247.0614
2025-11-19,0.3286,0.1676,0.4703,0.3827,distress,85155.5067,0.6173,28269368.621
2025-11-20,0.3421,0.1726,0.4752,0.3792,distress,85011.565,0.6208,27921663.7681
2025-11-21,0.3389,0.1776,0.48,0.3758,distress,84869.4675,0.6242,27577205.5052
2025-11-22,0.3487,0.1827,0.4849,0.3724,distress,84729.2687,0.6276,27236066.8349
2025-11-23,0.3573,0.1879,0.4899,0.369,distress,84591.0226,0.631,26898320.7596
2025-11-24,0.3599,0.1931,0.4949,0.3656,distress,84454.7836,0.6344,26564040.2818
2025-11-25,0.3627,0.1984,0.4999,0.3623,distress,84320.606,0.6377,26233298.4041
2025-11-26,0.3705,0.2038,0.505,0.3591,distress,84188.5438,0.6409,25906168.1291
2025-11-27,0.3753,0.2092,0.5101,0.3558,distress,84058.6515,0.6442,25582722.4591
2025-11-28,0.3789,0.2147,0.5152,0.3526,distress,83930.9833,0.6474,25263034.3967
2025-11-29,0.3837,0.2202,0.5204,0.3495,distress,83805.5933,0.6505,24947176.9444
2025-11-30,0.3927,0.2258,0.5256,0.3464,distress,83682.5358,0.6536,24635223.1048
2025-12-01,0.3983,0.2315,0.5309,0.3433,distress,83561.8652,0.6567,24327245.8803
2025-12-02,0.3979,0.2372,0.5361,0.3402,distress,83443.6355,0.6598,24023318.2735
2025-12-03,0.4004,0.243,0.5415,0.3372,distress,83327.9011,0.6628,23723513.2868
2025-12-04,0.4157,0.2488,0.5468,0.3343,distress,83214.7163,0.6657,23427903.9229
2025-12-05,0.4218,0.2547,0.5522,0.3314,distress,83104.1351,0.6686,23136563.1841
2025-12-06,0.423,0.2607,0.5577,0.3285,distress,82996.212,0.6715,22849564.0731
2025-12-07,0.4303,0.2667,0.5632,0.3257,distress,82891.0012,0.6743,22566979.5923
2025-12-08,0.4365,0.2728,0.5687,0.3229,distress,82788.5568,0.6771,22288882.7442
2025-12-09,0.4431,0.2789,0.5742,0.3202,distress,82688.9332,0.6798,22015346.5315
2025-12-10,0.4488,0.2851,0.5798,0.3175,distress,82592.1845,0.6825,21746443.9564
2025-12-11,0.453,0.2914,0.5855,0.3148,distress,82498.3651,0.6852,21482248.0217
2025-12-12,0.4587,0.2977,0.5911,0.3122,distress,82407.5291,0.6878,21222831.7297
2025-12-13,0.4609,0.304,0.5968,0.3097,distress,82319.7309,0.6903,20968268.0831
2025-12-14,0.4693,0.3104,0.6026,0.3072,distress,82235.0246,0.6928,20718630.0843
2025-12-15,0.4794,0.3169,0.6083,0.3047,distress,82153.4646,0.6953,20473990.7359
2025-12-16,0.4784,0.3234,0.6142,0.3023,distress,82075.1049,0.6977,20234423.0402
2025-12-17,0.4955,0.33,0.62,0.3,capitulation,82000.0,0.7,20000000.0
