date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-09-15,0.3255,0.19,0.47,0.5,proposal,2800.0,0.4,100000000.0
2025-09-16,0.3258,0.1964,0.4743,0.5031,proposal,2814.5286,0.3964,102795900.6979
2025-09-17,0.3342,0.2028,0.4785,0.5061,proposal,2828.842,0.3929,105512536.4431
2025-09-18,0.3363,0.209,0.4826,0.509,proposal,2842.928,0.3897,108149801.2192
2025-09-19,0.3413,0.2151,0.4867,0.5117,proposal,2856.7742,0.3866,110707589.0096
2025-09-20,0.3519,0.221,0.4907,0.5144,proposal,2870.3684,0.3836,113185793.798
2025-09-21,0.3546,0.2269,0.4947,0.5169,proposal,2883.6983,0.3808,115584309.568
2025-09-22,0.3576,0.2326,0.4985,0.5194,proposal,2896.7515,0.3782,117903030.303
2025-09-23,0.3681,0.2381,0.5023,0.5217,proposal,2909.5158,0.3757,120141849.9867
2025-09-24,0.3701,0.2436,0.5061,0.5239,proposal,2921.9789,0.3734,122300662.6027
2025-09-25,0.3706,0.2489,0.5097,0.526,proposal,2934.1285,0.3712,124379362.1345
2025-09-26,0.3808,0.254,0.5132,0.5281,proposal,2945.9522,0.3691,126377842.5656
2025-09-27,0.3859,0.259,0.5167,0.53,proposal,2957.4378,0.3672,128295997.8797
2025-09-28,0.391,0.2638,0.52,0.5318,proposal,2968.573,0.3654,130133722.0603
2025-09-29,0.3942,0.2684,0.5233,0.5335,proposal,2979.3455,0.3637,131890909.0909
2025-09-30,0.3877,0.2729,0.5264,0.5352,proposal,2989.7429,0.3622,133567452.9552
2025-10-01,0.404,0.2772,0.5294,0.5367,proposal,2999.7531,0.3608,135163247.6367
2025-10-02,0.3975,0.2814,0.5323,0.5381,proposal,3009.3636,0.3594,136678187.119
2025-10-03,0.4034,0.2853,0.5351,0.5395,proposal,3018.5622,0.3582,138112165.3856
2025-10-04,0.41,0.2891,0.5378,0.5408,proposal,3027.3366,0.3571,139465076.4202
2025-10-05,0.4147,0.2927,0.5403,0.5419,proposal,3035.6745,0.3561,140736814.2062
2025-10-06,0.4137,0.296,0.5427,0.543,proposal,3043.5636,0.3552,141927272.7273
2025-10-07,0.4277,0.2992,0.545,0.544,proposal,3050.9916,0.3543,143036345.967
2025-10-08,0.4232,0.3022,0.5471,0.5449,proposal,3057.9462,0.3536,144063927.9088
2025-10-09,0.4274,0.3049,0.5491,0.5458,proposal,3064.4152,0.3529,145009912.5364
2025-10-10,0.4309,0.3075,0.5509,0.5465,proposal,3070.3861,0.3524,145874193.8334
2025-10-11,0.4317,0.3098,0.5526,0.5472,proposal,3075.8467,0.3519,146656665.7832
2025-10-12,0.4313,0.3119,0.5541,0.5478,proposal,3080.7847,0.3514,147357222.3695
2025-10-13,0.4327,0.3137,0.5554,0.5483,proposal,3085.1879,0.3511,147975757.5758
2025-10-14,0.4323,0.3154,0.5566,0.5488,proposal,3089.0438,0.3507,148512165.3856
2025-10-15,0.4371,0.3168,0.5576,0.5492,proposal,3092.3403,0.3505,148966339.7827
2025-10-16,0.4425,0.3179,0.5585,0.5495,proposal,3095.065,0.3503,149338174.7504
2025-10-17,0.4437,0.3188,0.5591,0.5497,proposal,3097.2056,0.3502,149627564.2725
2025-10-18,0.4422,0.3195,0.5596,0.5499,proposal,3098.7499,0.3501,149834402.3324
2025-10-19,0.4426,0.3199,0.5599,0.55,proposal,3099.6854,0.35,149958582.9137
2025-10-20,0.4415,0.32,0.56,0.55,sec-comment,3100.0,0.35,150000000.0
2025-10-21,0.4401,0.32,0.56,0.5499,sec-comment,3099.945,0.3501,149960820.5476
2025-10-22,0.4425,0.3199,0.56,0.5497,sec-comment,3099.7742,0.3504,149843233.1085
2025-10-23,0.4489,0.3197,0.5599,0.5494,sec-comment,3099.4792,0.3509,149647164.0604
2025-10-24,0.4379,0.3194,0.5598,0.549,sec-comment,3099.0513,0.3517,149372539.7807
2025-10-25,0.4404,0.3191,0.5597,0.5484,sec-comment,3098.4821,0.3526,149019286.6468
2025-10-26,0.4317,0.3187,0.5596,0.5477,sec-comment,3097.7631,0.3537,148587331.0363
2025-10-27,0.4369,0.3181,0.5594,0.5469,sec-comment,3096.8855,0.355,148076599.3266
2025-10-28,0.4348,0.3175,0.5592,0.546,sec-comment,3095.841,0.3565,147487017.8952
2025-10-29,0.4377,0.3168,0.559,0.5449,sec-comment,3094.621,0.3582,146818513.1195
2025-10-30,0.4347,0.316,0.5587,0.5438,sec-comment,3093.2169,0.36,146071011.3771
2025-10-31,0.4412,0.3151,0.5584,0.5425,sec-comment,3091.6202,0.3621,145244439.0455
2025-11-01,0.4311,0.3141,0.558,0.5411,sec-comment,3089.8224,0.3643,144338722.502
2025-11-02,0.4366,0.313,0.5576,0.5396,sec-comment,3087.8149,0.3667,143353788.1242
2025-11-03,0.4333,0.3118,0.5571,0.5379,sec-comment,3085.5892,0.3693,142289562.2896
2025-11-04,0.4386,0.3105,0.5566,0.5362,sec-comment,3083.1368,0.372,141145971.3756
2025-11-05,0.4306,0.309,0.556,0.5343,sec-comment,3080.449,0.375,139922941.7597
2025-11-06,0.429,0.3075,0.5553,0.5324,sec-comment,3077.5174,0.378,138620399.8194
2025-11-07,0.4298,0.3058,0.5546,0.5303,sec-comment,3074.3334,0.3813,137238271.9321
2025-11-08,0.4358,0.304,0.5538,0.5281,sec-comment,3070.8885,0.3847,135776484.4755
2025-11-09,0.419,0.302,0.553,0.5258,sec-comment,3067.1742,0.3882,134234963.8268
2025-11-10,0.4308,0.3,0.552,0.5234,sec-comment,3063.1818,0.3919,132613636.3636
