date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-10-01,0.0482,0.02,0.09,0.5,calm,5850.0,0.15,250000000.0
2025-10-02,0.0482,0.0203,0.09,0.5,calm,5849.9602,0.1501,248413514.8815
2025-10-03,0.0529,0.0207,0.0902,0.5,calm,5849.8418,0.1503,246825224.2259
2025-10-04,0.052,0.021,0.0904,0.5,calm,5849.6467,0.1507,245235132.6192
2025-10-05,0.0499,0.0214,0.0907,0.5,calm,5849.3765,0.1512,243643244.6473
2025-10-06,0.0508,0.0218,0.091,0.5,calm,5849.0329,0.1518,242049564.8958
2025-10-07,0.0526,0.0223,0.0915,0.5,calm,5848.6178,0.1526,240454097.9508
2025-10-08,0.0561,0.0228,0.092,0.5,calm,5848.1327,0.1535,238856848.398
2025-10-09,0.0548,0.0233,0.0926,0.5,calm,5847.5795,0.1545,237257820.8233
2025-10-10,0.0565,0.0238,0.0932,0.5,calm,5846.9598,0.1557,235657019.8125
2025-10-11,0.0581,0.0244,0.0939,0.5,calm,5846.2753,0.1569,234054449.9515
2025-10-12,0.0594,0.0249,0.0947,0.5,calm,5845.5279,0.1583,232450115.8261
2025-10-13,0.0612,0.0255,0.0956,0.5,calm,5844.7192,0.1597,230844022.0222
2025-10-14,0.0588,0.0261,0.0965,0.5,calm,5843.8509,0.1613,229236173.1256
2025-10-15,0.0562,0.0268,0.0974,0.5,calm,5842.9248,0.1629,227626573.7221
2025-10-16,0.0585,0.0274,0.0984,0.5,calm,5841.9425,0.1646,226015228.3976
2025-10-17,0.0621,0.0281,0.0995,0.5,calm,5840.9059,0.1664,224402141.738
2025-10-18,0.0637,0.0288,0.1006,0.5,calm,5839.8166,0.1683,222787318.3291
2025-10-19,0.0624,0.0295,0.1017,0.5,calm,5838.6763,0.1703,221170762.7567
2025-10-20,0.0678,0.0302,0.1029,0.5,calm,5837.4868,0.1723,219552479.6067
2025-10-21,0.0666,0.031,0.1042,0.5,calm,5836.2498,0.1744,217932473.4649
2025-10-22,0.0686,0.0317,0.1055,0.5,calm,5834.967,0.1765,216310748.9172
2025-10-23,0.0702,0.0325,0.1068,0.5,calm,5833.6401,0.1787,214687310.5494
2025-10-24,0.0698,0.0333,0.1082,0.5,calm,5832.271,0.181,213062162.9474
2025-10-25,0.0736,0.0341,0.1095,0.5,calm,5830.8612,0.1832,211435310.6969
2025-10-26,0.072,0.0349,0.111,0.5,calm,5829.4125,0.1856,209806758.384
2025-10-27,0.0712,0.0357,0.1124,0.5,calm,5827.9266,0.1879,208176510.5943
2025-10-28,0.0724,0.0366,0.1139,0.5,calm,5826.4053,0.1903,206544571.9138
2025-10-29,0.078,0.0374,0.1154,0.5,calm,5824.8502,0.1927,204910946.9282
2025-10-30,0.0782,0.0383,0.1169,0.5,calm,5823.2632,0.1951,203275640.2235
2025-10-31,0.0793,0.0391,0.1184,0.5,calm,5821.6459,0.1976,201638656.3855
2025-11-01,0.0818,0.04,0.12,0.5,uncertain,5820.0,0.2,200000000.0
2025-11-02,0.0799,0.0409,0.1219,0.4997,uncertain,5817.8951,0.2028,198305023.6583
2025-11-03,0.085,0.042,0.1243,0.4987,uncertain,5814.9427,0.2062,196506605.0821
2025-11-04,0.0844,0.0432,0.1272,0.4972,uncertain,5811.2072,0.2101,194616036.5526
2025-11-05,0.0875,0.0446,0.1305,0.4951,uncertain,5806.7531,0.2146,192644610.3513
2025-11-06,0.0868,0.046,0.1343,0.4926,uncertain,5801.645,0.2196,190603618.7594
2025-11-07,0.0915,0.0475,0.1385,0.4896,uncertain,5795.9472,0.225,188504354.0584
2025-11-08,0.0945,0.0491,0.143,0.4862,uncertain,5789.7243,0.2308,186358108.5296
2025-11-09,0.0981,0.0508,0.1478,0.4825,uncertain,5783.0408,0.2368,184176174.4543
2025-11-10,0.0992,0.0525,0.1528,0.4784,uncertain,5775.9612,0.2432,181969844.114
2025-11-11,0.1023,0.0542,0.1581,0.4741,uncertain,5768.55,0.2498,179750409.7898
2025-11-12,0.1014,0.056,0.1635,0.4695,uncertain,5760.8716,0.2565,177529163.7633
2025-11-13,0.1078,0.0578,0.169,0.4648,uncertain,5752.9906,0.2634,175317398.3157
2025-11-14,0.1138,0.0597,0.1746,0.4599,uncertain,5744.9714,0.2703,173126405.7284
2025-11-15,0.1153,0.0615,0.1802,0.455,uncertain,5736.8786,0.2773,170967478.2828
2025-11-16,0.1146,0.0633,0.1859,0.45,uncertain,5728.7766,0.2842,168851908.2602
2025-11-17,0.1155,0.065,0.1914,0.445,uncertain,5720.7299,0.291,166790987.9419
