date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-10-15,0.4329,0.31,0.55,0.6,committee-mark,170000000000.0,0.5,1000000000.0
2025-10-16,0.4307,0.3123,0.5532,0.6018,committee-mark,170182049656.3876,0.4964,1006424154.7326
2025-10-17,0.4327,0.3145,0.5563,0.6036,committee-mark,170363233304.493,0.4927,1012849876.5665
2025-10-18,0.4341,0.3168,0.5595,0.6054,committee-mark,170543497363.5604,0.4891,1019277192.7543
2025-10-19,0.4369,0.319,0.5626,0.6072,committee-mark,170722788252.8342,0.4855,1025706130.549
2025-10-20,0.444,0.3212,0.5657,0.609,committee-mark,170901052391.5587,0.482,1032136717.2031
2025-10-21,0.4408,0.3234,0.5688,0.6108,committee-mark,171078236198.9782,0.4784,1038568979.9696
2025-10-22,0.4457,0.3256,0.5718,0.6125,committee-mark,171254286094.3371,0.4749,1045002946.1011
2025-10-23,0.4483,0.3278,0.5748,0.6143,committee-mark,171429148496.8797,0.4714,1051438642.8505
2025-10-24,0.4519,0.3299,0.5778,0.616,committee-mark,171602769825.8502,0.4679,1057876097.4705
2025-10-25,0.452,0.3321,0.5808,0.6178,committee-mark,171775096500.4932,0.4645,1064315337.214
2025-10-26,0.4511,0.3342,0.5837,0.6195,committee-mark,171946074940.0527,0.4611,1070756389.3337
2025-10-27,0.4514,0.3362,0.5866,0.6212,committee-mark,172115651563.7732,0.4577,1077199281.0823
2025-10-28,0.4583,0.3383,0.5894,0.6228,committee-mark,172283772790.8991,0.4543,1083644039.7126
2025-10-29,0.4597,0.3403,0.5922,0.6245,committee-mark,172450385040.6745,0.451,1090090692.4775
2025-10-30,0.4589,0.3423,0.5949,0.6262,committee-mark,172615434732.3439,0.4477,1096539266.6296
2025-10-31,0.4627,0.3443,0.5976,0.6278,committee-mark,172778868285.1516,0.4444,1102989789.4218
2025-11-01,0.4651,0.3463,0.6002,0.6294,committee-mark,172940632118.3418,0.4412,1109442288.1069
2025-11-02,0.4711,0.3482,0.6028,0.631,committee-mark,173100672651.159,0.438,1115896789.9376
2025-11-03,0.4683,0.3501,0.6053,0.6326,committee-mark,173258936302.8475,0.4348,1122353322.1666
2025-11-04,0.4709,0.3519,0.6077,0.6342,committee-mark,173415369492.6515,0.4317,1128811912.0469
2025-11-05,0.473,0.3538,0.6101,0.6357,committee-mark,173569918639.8154,0.4286,1135272586.831
2025-11-06,0.4757,0.3556,0.6125,0.6372,committee-mark,173722530163.5836,0.4255,1141735373.7719
2025-11-07,0.4764,0.3573,0.6147,0.6387,committee-mark,173873150483.2002,0.4225,1148200300.1223
2025-11-08,0.4792,0.359,0.6169,0.6402,committee-mark,174021726017.9098,0.4196,1154667393.1349
2025-11-09,0.4806,0.3607,0.619,0.6417,committee-mark,174168203186.9564,0.4166,1161136680.0626
2025-11-10,0.4806,0.3624,0.6211,0.6431,committee-mark,174312528409.5848,0.4137,1167608188.1581
2025-11-11,0.4836,0.364,0.623,0.6445,committee-mark,174454648105.0388,0.4109,1174081944.6742
2025-11-12,0.4838,0.3655,0.6249,0.6459,committee-mark,174594508692.563,0.4081,1180557976.8637
2025-11-13,0.4902,0.3671,0.6267,0.6473,committee-mark,174732056591.4018,0.4054,1187036311.9793
2025-11-14,0.4865,0.3686,0.6284,0.6487,committee-mark,174867238220.7993,0.4027,1193516977.2738
2025-11-15,0.4894,0.37,0.63,0.65,floor-debate,175000000000.0,0.4,1200000000.0
