date,p,low,high,liquidity,sentiment,ref_value,concentration,cost_to_move
2025-09-01,0.2308,0.13,0.33,0.9,full-employment,4.1,0.1,2000000000.0
2025-09-02,0.2327,0.1324,0.3321,0.8977,full-employment,4.1088,0.1023,1991219120.0673
2025-09-03,0.2329,0.1348,0.3342,0.8955,full-employment,4.1174,0.1045,1982625845.2292
2025-09-04,0.2393,0.1371,0.3362,0.8933,full-employment,4.1258,0.1067,1974220846.3025
2025-09-05,0.241,0.1394,0.3382,0.8912,full-employment,4.134,0.1088,1966004794.104
2025-09-06,0.2429,0.1415,0.3402,0.8892,full-employment,4.142,0.1108,1957978359.4505
2025-09-07,0.2491,0.1436,0.3421,0.8871,full-employment,4.1499,0.1129,1950142213.1587
2025-09-08,0.2456,0.1457,0.3439,0.8852,full-employment,4.1575,0.1148,1942497026.0456
2025-09-09,0.2497,0.1476,0.3458,0.8833,full-employment,4.165,0.1167,1935043468.9278
2025-09-10,0.2507,0.1495,0.3476,0.8815,full-employment,4.1722,0.1185,1927782212.6221
2025-09-11,0.2527,0.1514,0.3493,0.8797,full-employment,4.1793,0.1203,1920713927.9453
2025-09-12,0.2542,0.1531,0.351,0.8779,full-employment,4.1862,0.1221,1913839285.7143
2025-09-13,0.257,0.1549,0.3527,0.8762,full-employment,4.1928,0.1238,1907158956.7457
2025-09-14,0.2591,0.1565,0.3543,0.8746,full-employment,4.1993,0.1254,1900673611.8565
2025-09-15,0.2617,0.1581,0.3558,0.873,full-employment,4.2056,0.127,1894383921.8633
2025-09-16,0.2668,0.1596,0.3574,0.8715,full-employment,4.2117,0.1285,1888290557.5829
2025-09-17,0.2656,0.1611,0.3588,0.87,full-employment,4.2176,0.13,1882394189.8322
2025-09-18,0.2647,0.1625,0.3603,0.8686,full-employment,4.2233,0.1314,1876695489.4279
2025-09-19,0.2717,0.1638,0.3617,0.8673,full-employment,4.2288,0.1327,1871195127.1869
2025-09-20,0.2679,0.1651,0.363,0.8659,full-employment,4.2341,0.1341,1865893773.9258
2025-09-21,0.271,0.1663,0.3643,0.8647,full-employment,4.2392,0.1353,1860792100.4615
2025-09-22,0.274,0.1675,0.3655,0.8635,full-employment,4.2441,0.1365,1855890777.6108
2025-09-23,0.2748,0.1686,0.3667,0.8623,full-employment,4.2488,0.1377,1851190476.1905
2025-09-24,0.2762,0.1697,0.3679,0.8612,full-employment,4.2533,0.1388,1846691867.0173
2025-09-25,0.2785,0.1707,0.369,0.8602,full-employment,4.2576,0.1398,1842395620.908
2025-09-26,0.2792,0.1716,0.37,0.8592,full-employment,4.2617,0.1408,1838302408.6795
2025-09-27,0.2791,0.1725,0.371,0.8582,full-employment,4.2656,0.1418,1834412901.1484
2025-09-28,0.2837,0.1734,0.372,0.8573,full-employment,4.2693,0.1427,1830727769.1317
2025-09-29,0.28,0.1741,0.3729,0.8565,full-employment,4.2728,0.1435,1827247683.446
2025-09-30,0.282,0.1749,0.3737,0.8557,full-employment,4.276,0.1443,1823973314.9082
2025-10-01,0.2818,0.1756,0.3745,0.855,full-employment,4.2791,0.145,1820905334.3351
2025-10-02,0.2874,0.1762,0.3753,0.8543,full-employment,4.282,0.1457,1818044412.5434
2025-10-03,0.2838,0.1768,0.3759,0.8536,full-employment,4.2846,0.1464,1815391220.3499
2025-10-04,0.286,0.1773,0.3766,0.8531,full-employment,4.2871,0.1469,1812946428.5714
2025-10-05,0.288,0.1778,0.3772,0.8525,full-employment,4.2893,0.1475,1810710708.0248
2025-10-06,0.29,0.1782,0.3777,0.852,full-employment,4.2913,0.148,1808684729.5267
2025-10-07,0.2863,0.1786,0.3782,0.8516,full-employment,4.2931,0.1484,1806869163.894
2025-10-08,0.289,0.1789,0.3786,0.8512,full-employment,4.2947,0.1488,1805264681.9434
2025-10-09,0.2886,0.1792,0.379,0.8509,full-employment,4.2961,0.1491,1803871954.4918
2025-10-10,0.2902,0.1795,0.3793,0.8506,full-employment,4.2973,0.1494,1802691652.3559
2025-10-11,0.2888,0.1797,0.3795,0.8504,full-employment,4.2983,0.1496,1801724446.3525
2025-10-12,0.2886,0.1798,0.3797,0.8502,full-employment,4.299,0.1498,1800971007.2985
2025-10-13,0.2898,0.1799,0.3799,0.8501,full-employment,4.2996,0.1499,1800432006.0105
2025-10-14,0.2907,0.18,0.38,0.85,full-employment,4.2999,0.15,1800108113.3054
2025-10-15,0.2936,0.18,0.38,0.85,softening,4.3,0.15,1800000000.0
2025-10-16,0.2876,0.18,0.38,0.85,softening,4.2999,0.15,1800085467.0276
2025-10-17,0.2868,0.1798,0.3799,0.8501,softening,4.2997,0.1499,1800342663.1526
2025-10-18,0.2898,0.1796,0.3799,0.8503,softening,4.2992,0.1497,1800772780.9381
2025-10-19,0.2911,0.1793,0.3798,0.8505,softening,4.2986,0.1495,1801377012.9473
2025-10-20,0.2869,0.1789,0.3796,0.8507,softening,4.2978,0.1493,1802156551.7433
2025-10-21,0.2927,0.1785,0.3795,0.851,softening,4.2969,0.149,1803112589.8894
2025-10-22,0.2906,0.178,0.3793,0.8514,softening,4.2958,0.1486,1804246319.9488
2025-10-23,0.2883,0.1773,0.379,0.8518,softening,4.2944,0.1482,1805558934.4846
2025-10-24,0.288,0.1767,0.3788,0.8523,softening,4.2929,0.1477,1807051626.0599
2025-10-25,0.2849,0.1759,0.3785,0.8528,softening,4.2913,0.1472,1808725587.238
2025-10-26,0.2882,0.1751,0.3781,0.8534,softening,4.2894,0.1466,1810582010.582
2025-10-27,0.2852,0.1741,0.3777,0.8541,softening,4.2874,0.1459,1812622088.6551
2025-10-28,0.2861,0.1732,0.3773,0.8548,softening,4.2852,0.1452,1814847014.0206
